886.61,891.93,Xander,your neck cleavage until Dracula shows up?
892.01,893.61,Xander,Then you two can talk private.
893.61,895.16,Anya,Don't tell me you're jealous.
895.25,898.17,Xander,No. Just because you're panting over the guy.
898.25,900.37,Anya,I am not panting.
901.25,904.09,Anya,Now stop being silly. I'll see you tomorrow.
904.69,906.86,Xander,You don't wanna come back to my place?
906.86,907.77,Anya,It's whites day.
907.85,910.08,Anya,The bleach smell makes me nauseous.
911.09,914.48,Xander,Fine. I suppose Dracula doesn't use bleach?
916.17,918.16,Xander,He's a darksonly man.
928.97,931.53,Xander,Great. Perfect.
932.81,935.89,Xander,You know what? You're not so big.
935.97,940.21,Xander,"One round of oldfashioned fisticuffs,"
935.97,940.21,Xander,I bet you'd fold like a bitty baby.
941.33,945.29,Xander,"OK, let's do it. And no poofing."
945.85,948.16,Xander,"Come on, Puffy Shirt. Pucker on up..."
948.25,949.19,Dracula,Silence.
949.19,950.61,Xander,"Yes, master."
951.37,953.52,Xander,"No, that's not..."
953.61,958.29,Dracula,You will be my emissary.
953.61,958.29,Dracula,My eyes and ears in daylight.
958.85,960.15,Xander,Your emissary?
960.15,963.48,Dracula,"Serve me well, you will be rewarded."
964.41,966.61,Dracula,I will make you an immortal.
968.29,971.52,Dracula,"A child of darkness that feeds on life itself,"
972.53,974.21,Dracula,on blood.
974.29,976.36,Xander,Blood? Yes.
976.45,979.76,Xander,"I will serve you, Your Excellent Spookiness."
980.45,982.49,Xander,"Or ""master"". I'll stick with ""master""."
982.57,985.96,Dracula,You are strange and offputting. Go now.
988.61,990.6,Xander,"But, master, how can I find...?"
992.45,994.44,Xander,Brilliant. What an exit.
995.21,997.2,Xander,Guy's a genius.
1014.81,1016.64,Spike,"Well, well."
1016.73,1019.2,Spike,"You can take the boy out of the Initiative,"
1019.29,1022.73,Spike,but you can't take the Initiative out of the boy.
1023.33,1027.53,Riley,"I'd put that down, unless"
1023.33,1027.53,Riley,you're bucking for one hell of a headache.
1029.61,1031.89,Spike,I can't be too careful.
1031.97,1034.65,Spike,I got quite a few demons after me these days.
1035.21,1038.57,Riley,I'm looking for some information.
1035.21,1038.57,Riley,Might pay a little.
1039.29,1041.28,Spike,I'll play.
1043.49,1045.64,Riley,What can you tell me about Dracula?
1047.09,1049.08,Riley,Dracula?
1050.37,1052.81,Spike,Poncy bugger owes me
1050.37,1052.81,Spike,"pounds, for one thing."
1052.89,1054.22,Riley,You know him?
1054.22,1056.97,Spike,Know him? We're old rivals.
1058.53,1062.53,Spike,But then he got famous.
1058.53,1062.53,Spike,He forgot all about his foes.
1063.21,1068.53,Spike,I'll tell you what. That glory hound's
1063.21,1068.53,Spike,done more harm to vampires than any slayer.
1068.61,1070.73,Spike,His story gets out and suddenly everybody
1070.73,1072.65,Riley,knows how to kill us. The mirror bit?
1072.73,1076.09,Riley,But he's notjust a regular vampire.
1072.73,1076.09,Riley,"He has special powers, right?"
1076.17,1082.02,Spike,Nothing but showy gypsy stuff.
1076.17,1082.02,Spike,"What's it to you, anyway?"
1080.89,1084.6,Riley,He's in town. Making his presence known.
1084.69,1087.81,Spike,Drac's in Sunnydale?
1089.37,1092.21,Spike,I guess the old boy needed closure after all.
1093.25,1098.17,Riley,"Actually, he's gunning for Buffy. But I'm out"
1093.25,1098.17,Riley,to find him before he gets another shot at her.
1098.25,1102.33,Spike,"Tough talk, cowboy. But you're not"
1098.25,1102.33,Spike,gonna catch him napping in a crypt.
1102.41,1109.09,Spike,The Count has to have his luxury estate and
